paper_id,doi,title,publication_year,publication_date,cited_by_count,type,authors,concepts
p1351,https://doi.org/10.1016/j.dss.2021.113492,Data engineering for fraud detection,2021,1/12/2021,102,article,Bart Baesens; Sebastiaan Höppner; Tim Verdonck,Interpretability; Feature engineering; Computer science; Process (computing); Feature (linguistics)
p1352,https://doi.org/10.1109/tnnls.2018.2875194,Inverting the Generator of a Generative Adversarial Network,2018,11/6/2018,311,article,Antonia Creswell; Anil A. Bharath,Computer science; Generative grammar; Generator (circuit theory); Inversion (geology); Generative adversarial network
p1353,https://doi.org/10.18653/v1/d16-1249,Supervised Attentions for Neural Machine Translation,2016,1/1/2016,129,article,Haitao Mi; Zhiguo Wang; Abe Ittycheriah,Machine translation; Computer science; Translation (biology); Artificial intelligence; Machine translation system
p1354,https://doi.org/10.1103/physrevd.66.103511,Cosmological parameters from CMB and other data: A Monte Carlo approach,2002,11/25/2002,3181,article,Antony Lewis; Sarah Bridle,Cosmic microwave background; Physics; Monte Carlo method; Markov chain Monte Carlo; Big Bang nucleosynthesis
p1355,https://doi.org/10.1109/cvpr.2005.138,Efficient Image Matching with Distributions of Local Invariant Features,2005,7/27/2005,147,article,Kristen Grauman; Trevor Darrell,Pattern recognition (psychology); Artificial intelligence; Invariant (physics); Earth mover's distance; Histogram
p1356,https://doi.org/10.1109/78.301849,Matched subspace detectors,1994,1/1/1994,932,article,Louis L. Scharf; B. Friedlander,Subspace topology; Mathematics; Detector; Invariant (physics); Test statistic
p1357,https://doi.org/10.1109/cvpr.2011.5995430,Large-scale live active learning: Training object detectors with crawled data and crowds,2011,6/1/2011,120,article,Sudheendra Vijayanarasimhan; Kristen Grauman,Crowds; Computer science; Scale (ratio); Training (meteorology); Object (grammar)
p1358,https://doi.org/10.1090/s0002-9904-1959-10290-1,Solution of the equation 𝑧𝑒^{𝑧}=𝑎,1959,1/1/1959,168,article,E. M. Wright,Mathematics; Applied mathematics
p1359,https://doi.org/10.1103/physrevb.85.245102,"Modified embedded atom method potential for Al, Si, Mg, Cu, and Fe alloys",2012,6/1/2012,309,article,Bohumir Jelinek; Sébastien Groh; M.F. Horstemeyer; Jeff Houze; Seong‐Gon Kim,Ab initio; Thermodynamics; Stacking-fault energy; Materials science; Ab initio quantum chemistry methods
p1360,https://doi.org/10.1145/781027.781053,Fast accurate computation of large-scale IP traffic matrices from link loads,2003,6/10/2003,507,article,Yin Zhang⋆; Matthew Roughan; Nick Duffield; Albert Greenberg,Computer science; Router; Backbone network; Computer network; Internet traffic engineering
p1361,https://doi.org/10.1145/2911451.2911489,Fast Matrix Factorization for Online Recommendation with Implicit Feedback,2016,7/7/2016,977,article,Xiangnan He; Hanwang Zhang; Min‐Yen Kan; Tat‐Seng Chua,Computer science; Matrix decomposition; Weighting; Exploit; Factorization
p1362,https://doi.org/10.1609/aaai.v25i1.7907,Transfer Learning by Structural Analogy,2011,8/4/2011,68,article,Huayan Wang; Qiang Yang,Reproducing kernel Hilbert space; Similarity (geometry); Transfer of learning; Kernel (algebra); Computer science
p1363,https://doi.org/10.1007/s41066-016-0018-1,A neurofuzzy algorithm for learning from complex granules,2016,4/4/2016,53,article,Bruno Apolloni; Simone Bassis; Jacopo Rota; Gian Luca Galliani; Matteo Gioia,Computer science; Fuzzy logic; Inference; Granular computing; Artificial intelligence
p1364,https://doi.org/10.1093/qje/qjx032,Human Decisions and Machine Predictions*,2017,8/24/2017,481,article,Jon Kleinberg; Himabindu Lakkaraju; Jure Leskovec; Jens Ludwig; Sendhil Mullainathan,Counterfactual thinking; Counterfactual conditional; Concreteness; Computer science; Stochastic game
p1365,https://doi.org/10.1007/s11257-011-9117-5,Evaluating the effectiveness of explanations for recommender systems,2012,2/15/2012,302,article,Nava Tintarev; Judith Masthoff,Computer science; Recommender system; Personalization; Transparency (behavior); Empirical research
p1366,https://doi.org/10.1007/978-3-319-75238-9_25,Brain Tumor Segmentation and Radiomics Survival Prediction: Contribution to the BRATS 2017 Challenge,2018,1/1/2018,503,book-chapter,Fabian Isensee; Philipp Kickingereder; Wolfgang Wick; Martin Bendszus; Klaus Maier‐Hein,Overfitting; Computer science; Segmentation; Artificial intelligence; Test set
p1367,https://doi.org/10.1109/iccv.2019.00179,Memorizing Normality to Detect Anomaly: Memory-Augmented Deep Autoencoder for Unsupervised Anomaly Detection,2019,10/1/2019,1236,article,Dong Gong; Lingqiao Liu; Vuong Le; Budhaditya Saha; Moussa Reda Mansour,Autoencoder; Anomaly detection; Computer science; Artificial intelligence; Pattern recognition (psychology)
p1368,https://doi.org/10.28945/304,Implementing eLearning Programmes for Higher Education: A Review of the Literature,2004,1/1/2004,214,review,K. L. O’Neill; Gurmak Singh; John O’Donoghue,Multidisciplinary approach; Engineering ethics; International education; Higher education; Medical education
p1369,https://doi.org/10.1073/pnas.0308394101,The loss function of sensorimotor learning,2004,6/21/2004,195,article,Konrad P. Körding; Daniel M. Wolpert,Outlier; Function (biology); Mean squared error; Quadratic growth; Computer science
p1370,https://doi.org/10.1187/cbe.02-10-0050,Evaluating a Science Diversity Program at UC Berkeley: More Questions Than Answers,2003,6/1/2003,61,article,John Matsui; Roger Liu; Caroline M. Kane,Ethnic group; Underrepresented Minority; Diversity (politics); Mathematics education; African american
p1371,https://doi.org/10.1109/icc.2019.8761276,Feature Engineering for Deep Reinforcement Learning Based Routing,2019,5/1/2019,44,article,José Suárez‐Varela; Albert Mestres; Junlin Yu; Kuang Li; Haoyu Feng,Reinforcement learning; Computer science; Routing (electronic design automation); Representation (politics); Artificial intelligence
p1372,,Exemplary Online Educators: Creating a Community of Inquiry,2005,6/1/2005,46,article,Beth Perry; Margaret Edwards,Community of inquiry; Mathematics education; Online community; Psychology; Sociology
p1373,https://doi.org/10.1212/01.wnl.0000256697.20968.d7,Hippocampal and entorhinal atrophy in mild cognitive impairment,2007,3/13/2007,731,article,Davangere P. Devanand; Gnanavalli Pradhaban; X. Liu; A. Khandji; Susan De Santi,Entorhinal cortex; Hippocampal formation; Atrophy; Hippocampus; Medicine
p1374,https://doi.org/10.1038/ng.2232,Bayesian inference analyses of the polygenic architecture of rheumatoid arthritis,2012,3/25/2012,416,article,Eli A. Stahl; Daniel Wegmann; Gosia Trynka; Javier Gutierrez‐Achury; Ron Do,Genome-wide association study; Biology; Genetic architecture; Single-nucleotide polymorphism; Rheumatoid arthritis
p1375,https://doi.org/10.1007/978-3-642-24797-2,Supervised Sequence Labelling with Recurrent Neural Networks,2012,1/1/2012,2610,book,Alex Graves,Labelling; Computer science; Sequence (biology); Artificial intelligence; Artificial neural network
p1376,https://doi.org/10.18653/v1/p19-1442,DisSent: Learning Sentence Representations from Explicit Discourse Relations,2019,1/1/2019,96,article,Allen Nie; Erin Bennett; Noah D. Goodman,Sentence; Computer science; Treebank; Natural language processing; Artificial intelligence
p1377,https://doi.org/10.1145/352871.352887,Analysis of recommendation algorithms for e-commerce,2000,10/17/2000,1829,article,Badrul Sarwar; George Karypis; Joseph A. Konstan; John Riedl,Research center; Library science; Computer Science and Engineering; Citation; Computer science
p1378,https://doi.org/10.1006/jcph.1995.1039,Fast Parallel Algorithms for Short-Range Molecular Dynamics,1995,3/1/1995,40308,article,Steven J. Plimpton,Parallel computing; Computer science; Benchmark (surveying); Parallel algorithm; Intel iPSC
p1379,https://doi.org/10.1145/1143844.1143845,Using inaccurate models in reinforcement learning,2006,1/1/2006,214,article,Pieter Abbeel; Morgan Quigley; Andrew Y. Ng,Reinforcement learning; Markov decision process; Computer science; Key (lock); Process (computing)
p1380,https://doi.org/10.1145/3400051.3400058,"Causal Interpretability for Machine Learning - Problems, Methods and Evaluation",2020,5/13/2020,180,article,Raha Moraffah; Mansooreh Karami; Ruocheng Guo; Adrienne Raglin; Huan Liu,Interpretability; Computer science; Machine learning; Artificial intelligence; Metric (unit)
p1381,https://doi.org/10.48550/arxiv.1903.12261,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations,2019,1/1/2019,803,preprint,Dan Hendrycks; Thomas G. Dietterich,Robustness (evolution); Computer science; Benchmarking; Artificial intelligence; Classifier (UML)
p1382,https://doi.org/10.1007/978-3-319-10602-1_31,Discriminatively Trained Dense Surface Normal Estimation,2014,1/1/2014,145,book-chapter,Ľubor Ladický; Bernhard Zeisl; Marc Pollefeys,Computer science; Artificial intelligence; Boosting (machine learning); Coding (social sciences); Training set
p1383,https://doi.org/10.48550/arxiv.1506.02078,Visualizing and Understanding Recurrent Networks,2015,1/1/2015,926,preprint,Andrej Karpathy; Justin Johnson; Li Fei-Fei,Computer science; Recurrent neural network; Bridge (graph theory); Testbed; Range (aeronautics)
p1384,https://doi.org/10.1609/aaai.v33i01.33015829,Bayesian Graph Convolutional Neural Networks for Semi-Supervised Classification,2019,7/17/2019,174,article,Yingxue Zhang; Soumyasundar Pal; Mark Coates; Deniz Üstebay,Computer science; Artificial intelligence; Convolutional neural network; Graph; Inference
p1385,https://doi.org/10.1109/cvpr52688.2022.01197,CHEX: CHannel EXploration for CNN Model Compression,2022,6/1/2022,57,article,Zejiang Hou; Minghai Qin; Fei Sun; Xiaolong Ma; Kun Yuan,Pruning; Computer science; FLOPS; Convolutional neural network; Artificial intelligence
p1386,https://doi.org/10.1016/j.ajhg.2010.11.011,GCTA: A Tool for Genome-wide Complex Trait Analysis,2010,12/17/2010,7143,article,Jian Yang; Sang Lee; Michael E. Goddard; Peter M. Visscher,Genome-wide association study; Heritability; Missing heritability problem; Genetic association; Quantitative trait locus
p1387,https://doi.org/10.3758/bf03197658,Constraints on access in a problem solving context,1983,1/1/1983,162,article,Greg Perfetto; John D. Bransford; Jeffery J. Franks,Task (project management); Psychology; Context (archaeology); Connection (principal bundle); Cognitive psychology
p1388,https://doi.org/10.1109/cvprw.2008.4563068,Entropy-based active learning for object recognition,2008,6/1/2008,235,article,Alex Holub; Pietro Perona; Michael C. Burl,Computer science; Oracle; Artificial intelligence; Entropy (arrow of time); Machine learning
p1389,https://doi.org/10.1143/jpsj.70.3186,Critical Temperature of Ferromagnetic Transition in Three-Dimensional Double-Exchange Models,2001,10/1/2001,35,article,Yukitoshi Motome; Nobuo Furukawa,Ferromagnetism; Condensed matter physics; Materials science; Physics
p1390,https://doi.org/10.1109/cvpr.2013.153,Hierarchical Saliency Detection,2013,6/1/2013,1733,article,Qiong Yan; Li Xu; Jianping Shi; Jiaya Jia,Computer science; Artificial intelligence; Salient; Contrast (vision); Scale (ratio)
p1391,https://doi.org/10.1109/cvpr42600.2020.01079,EfficientDet: Scalable and Efficient Object Detection,2020,6/1/2020,5672,article,Mingxing Tan; Ruoming Pang; Quoc V. Le,Computer science; Scalability; Pyramid (geometry); Feature (linguistics); Code (set theory)
p1392,https://doi.org/10.24963/ijcai.2021/631,Time Series Data Augmentation for Deep Learning: A Survey,2021,8/1/2021,217,preprint,Qingsong Wen; Liang Sun; Fan Yang; Xiaomin Song; Jingkun Gao,Overfitting; Computer science; Deep learning; Machine learning; Anomaly detection
p1393,https://doi.org/10.11591/ijece.v11i5.pp4392-4402,Artificial neural network technique for improving prediction of credit card default: A stacked sparse autoencoder approach,2021,6/18/2021,40,article,Sarah A. Ebiaredoh-Mienye; Ebenezer Esenogho; Theo G. Swart,Autoencoder; Computer science; Artificial intelligence; Credit card; Machine learning
p1394,https://doi.org/10.48550/arxiv.1705.08439,Thinking Fast and Slow with Deep Learning and Tree Search,2017,1/1/2017,151,preprint,Thomas Anthony; Tian Zheng; David Barber,Olympiad; Reinforcement learning; Champion; Computer science; Artificial intelligence
p1395,https://doi.org/10.1145/3368555.3384469,MIMIC-Extract,2020,3/20/2020,95,preprint,Shirly Wang; Matthew B. A. McDermott; Geeticka Chauhan; Marzyeh Ghassemi; Michael C. Hughes,Computer science; Pipeline (software); Raw data; Benchmark (surveying); Robustness (evolution)
p1396,https://doi.org/10.1109/tbme.2008.2005953,Resolving Superimposed MUAPs Using Particle Swarm Optimization,2008,9/30/2008,24,article,Hamid Reza Marateb; Kevin C. McGill,Particle swarm optimization; Crossover; Computer science; Motor unit; Action (physics)
p1397,https://doi.org/10.1145/1871437.1871723,Construction of a sentimental word dictionary,2010,10/26/2010,89,article,Eduard Dragut; Clement Yu; Prasad Sistla; Weiyi Meng,Computer science; Word (group theory); Natural language processing; Linguistics; Artificial intelligence
p1398,https://doi.org/10.3758/bf03194532,Bayesian contour integration,2001,10/1/2001,144,article,Jacob Feldman,Bayesian probability; Artificial intelligence; Disjoint sets; Computer science; Perception
p1399,https://doi.org/10.1109/access.2022.3148298,A Neural Network Ensemble With Feature Engineering for Improved Credit Card Fraud Detection,2022,1/1/2022,148,article,Ebenezer Esenogho; Ibomoiye Domor Mienye; Theo G. Swart; Kehinde Aruleba; George Obaido,Credit card fraud; Computer science; Credit card; AdaBoost; Machine learning
p1400,https://doi.org/10.1145/3132847.3132889,Joint Topic-Semantic-aware Social Recommendation for Online Voting,2017,11/6/2017,35,preprint,Hongwei Wang; Jia Wang; Miao Zhao; Jiannong Cao; Minyi Guo,Computer science; Voting; Word embedding; Semantics (computer science); Information retrieval
p1401,https://doi.org/10.1145/3132747.3132785,DeepXplore,2017,10/12/2017,1136,preprint,Kexin Pei; Yinzhi Cao; Junfeng Yang; Suman Jana,Correctness; Computer science; Malware; Predictability; Computer security
p1402,https://doi.org/10.1007/bfb0015553,Computing contour closure,1996,1/1/1996,184,book-chapter,James H. Elder; Steven W. Zucker,Bounding overwatch; Tangent; Computation; Polygon mesh; Algorithm
p1403,https://doi.org/10.7551/mitpress/7503.003.0069,A Kernel Method for the Two-Sample-Problem,2007,9/7/2007,1824,book-chapter,Arthur Gretton; Karsten Borgwardt; Malte J. Rasch; Bernhard Schölkopf; Alexander J. Smola,Computer science; Kernel (algebra); Sample (material); Mathematics; Chromatography
p1404,https://doi.org/10.1109/cvpr.2017.195,Xception: Deep Learning with Depthwise Separable Convolutions,2017,7/1/2017,15234,article,François Chollet,Convolution (computer science); Pointwise; Separable space; Convolutional neural network; Computer science
p1405,https://doi.org/10.1109/tnnls.2018.2869225,Temporal Attention-Augmented Bilinear Network for Financial Time-Series Data Analysis,2018,9/28/2018,217,article,Dat Thanh Tran; Alexandros Iosifidis; Juho Kanniainen; Moncef Gabbouj,Computer science; Inference; Bilinear interpolation; Margin (machine learning); Time series
p1406,https://doi.org/10.1016/j.patcog.2019.01.006,Wider or Deeper: Revisiting the ResNet Model for Visual Recognition,2019,1/6/2019,1338,article,Zifeng Wu; Chunhua Shen; Anton van den Hengel,Pascal (unit); Computer science; Residual; Segmentation; Artificial intelligence
p1407,https://doi.org/10.1002/0470013192.bsa416,Multidimensional Unfolding,2005,4/15/2005,13,other,Jan de Leeuw,Multidimensional scaling; Scaling; Rank (graph theory); Binary number; Preference
p1408,https://doi.org/10.1109/iccv.2015.494,Recurrent Network Models for Human Dynamics,2015,12/1/2015,831,article,Katerina Fragkiadaki; Sergey Levine; Panna Felsen; Jitendra Malik,Computer science; Artificial intelligence; Recurrent neural network; Autoencoder; Encoder
p1409,https://doi.org/10.1109/cvpr.2017.728,Semantic Image Inpainting with Deep Generative Models,2017,7/1/2017,1221,preprint,Raymond A. Yeh; Chen Chen; Teck Yian Lim; Alexander G. Schwing; Mark Hasegawa‐Johnson,Inpainting; Computer science; Artificial intelligence; Encoding (memory); Inference
p1410,https://doi.org/10.1109/iccv.2015.123,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,2015,12/1/2015,17143,article,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,Overfitting; Initialization; Computer science; Scratch; Artificial intelligence
p1411,https://doi.org/10.2202/1557-4679.1043,Targeted Maximum Likelihood Learning,2006,1/28/2006,751,article,Mark J. van der Laan; Daniel B. Rubin,Estimator; Mathematics; Invariant estimator; Minimum-variance unbiased estimator; Efficient estimator
p1412,https://doi.org/10.1613/jair.2329,Individual and Domain Adaptation in Sentence Planning for Dialogue,2007,11/28/2007,166,article,Marilyn Walker; Amanda Stent; François Mairesse; Rashmi Prasad,Sentence; Computer science; Planner; Natural language processing; Domain (mathematical analysis)
p1413,https://doi.org/10.1016/j.cviu.2018.02.006,Deep-anomaly: Fully convolutional neural network for fast anomaly detection in crowded scenes,2018,2/21/2018,412,article,Mohammad Sabokrou; Mohsen Fayyaz; Mahmood Fathy; Zahra Moayed; Reinhard Klette,Anomaly detection; Computer science; Artificial intelligence; Convolutional neural network; Pattern recognition (psychology)
p1414,https://doi.org/10.48550/arxiv.1607.03474,Recurrent Highway Networks,2016,1/1/2016,140,preprint,Julian Zilly; Rupesh K. Srivastava; Jan Koutník; Jürgen Schmidhuber,Treebank; Perplexity; Computer science; Recurrent neural network; Transition (genetics)
p1415,https://doi.org/10.48550/arxiv.1612.05695,Reinforcement Learning Using Quantum Boltzmann Machines,2016,1/1/2016,23,preprint,Daniel J. Crawford; Anna Levit; Navid Ghadermarzy; Jaspreet S. Oberoi; Pooya Ronagh,Boltzmann machine; Reinforcement learning; Restricted Boltzmann machine; Quantum annealing; Qubit
p1416,https://doi.org/10.1109/mc.2022.3218005,AI Maintenance: A Robustness Perspective,2023,2/1/2023,11,article,Pin‐Yu Chen; Payel Das,Robustness (evolution); Computer science; Trustworthiness; Artificial intelligence; Risk analysis (engineering)
p1417,https://doi.org/10.18653/v1/n16-1015,Multi-domain Neural Network Language Generation for Spoken Dialogue Systems,2016,1/1/2016,193,preprint,Tsung-Hsien Wen; Milica Gašić; Nikola Mrkšić; Lina M. Rojas-Barahona; Pei-Hao Su,Computer science; Computational linguistics; Linguistics; Domain (mathematical analysis); Spoken language
p1418,https://doi.org/10.1016/j.imu.2020.100412,A combined deep CNN-LSTM network for the detection of novel coronavirus (COVID-19) using X-ray images,2020,1/1/2020,564,article,Md. Zabirul Islam; Md. Milon Islam; Amanullah Asraf,Coronavirus disease 2019 (COVID-19); Convolutional neural network; Artificial intelligence; Computer science; Deep learning
p1419,https://doi.org/10.18653/v1/s16-1030,SENSEI-LIF at SemEval-2016 Task 4: Polarity embedding fusion for robust sentiment analysis,2016,1/1/2016,48,article,Mickaël Rouvier; Benoît Favre,SemEval; Embedding; Computer science; Polarity (international relations); Sentiment analysis
p1420,https://doi.org/10.3758/bf03196893,Interpreting the parameters of the diffusion model: An empirical validation,2004,10/1/2004,575,article,Andreas Voß; Klaus Rothermund; Jochen Voß,Psychology; Task (project management); Process (computing); Decision process; Diffusion
p1421,https://doi.org/10.1016/j.patcog.2017.04.027,TextProposals: A text-specific selective search algorithm for word spotting in the wild,2017,4/29/2017,107,article,Lluís Gómez; Dìmosthenis Karatzas,Computer science; Word (group theory); Spotting; Artificial intelligence; Object (grammar)
p1422,https://doi.org/10.1007/s10489-013-0458-0,An optimization algorithm inspired by the States of Matter that improves the balance between exploration and exploitation,2013,7/13/2013,210,article,Erik Cuevas; Alonso Echavarría; Marte A. Ramírez-Ortegón,Computer science; Evolutionary algorithm; Benchmark (surveying); Robustness (evolution); Algorithm
p1423,https://doi.org/10.1109/tip.2008.2002304,Minimization of Region-Scalable Fitting Energy for Image Segmentation,2008,9/16/2008,1663,article,Chunming Li; Chiu‐Yen Kao; John C. Gore; Zhaohua Ding,Active contour model; Level set (data structures); Image segmentation; Regularization (linguistics); Level set method
p1424,https://doi.org/10.29309/tpmj/2019.26.04.3367,eLEARNING;,2019,4/9/2019,9,article,Ahsan Sethi; Anum Wajid; Aiman Khan,Khyber pakhtunkhwa; Medical education; The Internet; Medicine; Descriptive statistics
p1425,https://doi.org/10.1145/3357384,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,2019,11/3/2019,945,paratext,Otthein Herzog; Hans‐Jörg Schek; Norbert Fuhr; Abdur Chowdhury; Wilfried Teiken,Computer science; Knowledge management; Information retrieval; Data science; Library science
p1426,https://doi.org/10.1016/j.neuron.2009.03.024,Neurodegenerative Diseases Target Large-Scale Human Brain Networks,2009,4/1/2009,2160,article,William W. Seeley; Richard K. Crawford; Juan Zhou; Bruce L. Miller; Michael D. Greicius,Neuroscience; Human brain; Neuroimaging; Functional connectivity; Biological neural network
p1427,https://doi.org/10.1101/2020.08.15.20175760,The Histological Diagnosis of Colonic Adenocarcinoma by Applying Partial Self Supervised Learning,2020,8/17/2020,84,preprint,Syed Usama Khalid Bukhari; Asmara Syed; Syed Khuzaima Arsalan Bokhari; Syed Shahzad Hussain; Syed Umar Armaghan,Residual neural network; Convolutional neural network; Adenocarcinoma; Artificial intelligence; Deep learning
p1428,https://doi.org/10.1109/dsaa.2018.00018,Explaining Explanations: An Overview of Interpretability of Machine Learning,2018,10/1/2018,1748,article,Leilani H. Gilpin; David Bau; Ben Z. Yuan; Ayesha Bajwa; Michael A. Specter,Interpretability; Computer science; Artificial intelligence; Data science; Machine learning
p1429,https://doi.org/10.48550/arxiv.1811.04918,"Learning and Generalization in Overparameterized Neural Networks, Going Beyond Two Layers",2018,1/1/2018,115,preprint,Zeyuan Allen-Zhu; Yuanzhi Li; Yingyu Liang,Overfitting; Artificial neural network; Generalization; Linearization; Computer science
p1430,https://doi.org/10.1162/coli_a_00368,"The Design and Implementation of XiaoIce, an Empathetic Social Chatbot",2020,1/2/2020,531,article,Zhou Li; Jianfeng Gao; Di Li; Heung‐Yeung Shum,Chatbot; Session (web analytics); Conversation; Feeling; Computer science
p1431,https://doi.org/10.1109/iccv.2003.1238406,Unsupervised improvement of visual detectors using cotraining,2003,1/1/2003,236,article,Левин; Viola; Freund,Computer science; Classifier (UML); Labeled data; Artificial intelligence; Training set
p1432,https://doi.org/10.1007/978-3-642-02172-5_2,Large Scale Online Learning of Image Similarity through Ranking,2009,1/1/2009,462,book-chapter,Gal Chechik; Varun Sharma; Uri Shalit; Samy Bengio,Computer science; Similarity learning; Artificial intelligence; Machine learning; Hinge loss
p1433,https://doi.org/10.1007/3-540-63223-9_109,Finding similar time series,1997,1/1/1997,316,book-chapter,Gautam Das; Dimitrios Gunopulos; Heikki Mannila,Computer science; Similarity (geometry); Outlier; Series (stratigraphy); Naturalness
p1434,https://doi.org/10.1523/jneurosci.5967-08.2009,Uncovering the Neural Signature of Lapsing Attention: Electrophysiological Signals Predict Errors up to 20 s before They Occur,2009,7/1/2009,283,article,Redmond G. O’Connell; Paul M. Dockree; Ian H. Robertson; Mark A. Bellgrove; John J. Foxe,Stimulus (psychology); Electrophysiology; Electroencephalography; Psychology; Event-related potential
p1435,https://doi.org/10.1068/b32045,The Network Analysis of Urban Streets: A Primal Approach,2006,8/25/2006,726,article,Sergio Porta; Paolo Crucitti; Vito Latora,Centrality; Space syntax; Network science; Computer science; Representation (politics)
p1436,https://doi.org/10.1109/cvpr.2018.00337,Densely Connected Pyramid Dehazing Network,2018,6/1/2018,1009,preprint,He Zhang; Vishal M. Patel,Computer science; Pyramid (geometry); Transmission (telecommunications); Discriminator; Embedding
p1437,https://doi.org/10.1186/1752-153x-4-s1-s3,New public QSAR model for carcinogenicity,2010,7/1/2010,123,article,Natalja Fjodorova; Marjan Vračko; Marjana Novič; Alessandra Roncaglioni; Emilio Benfenati,Quantitative structure–activity relationship; Test set; Set (abstract data type); Authorization; Computer science
p1438,https://doi.org/10.1109/iccv.2019.00380,Omni-Scale Feature Learning for Person Re-Identification,2019,10/1/2019,772,article,Kaiyang Zhou; Yongxin Yang; Andrea Cavallaro; Tao Xiang,Computer science; Discriminative model; Feature (linguistics); Artificial intelligence; Overfitting
p1439,https://doi.org/10.1002/jmv.25674,Recent advances in the detection of respiratory virus infection in humans,2020,1/15/2020,492,review,Naru Zhang; Lili Wang; Xiaoqian Deng; Ruiying Liang; Meng Su,Virology; Rhinovirus; Respiratory tract infections; Virus; Coronavirus
p1440,https://doi.org/10.1109/tpami.2008.75,Pedestrian Detection via Classification on Riemannian Manifolds,2008,8/4/2008,960,article,Oncel Tuzel; Fatih Porikli; Peter Meer,Manifold (fluid mechanics); Artificial intelligence; Riemannian manifold; Covariance; Invertible matrix
p1441,https://doi.org/10.1007/s11263-013-0620-5,Selective Search for Object Recognition,2013,4/1/2013,5896,article,Jasper Uijlings; Koen E. A. van de Sande; Theo Gevers; A.W.M. Smeulders,Computer science; Artificial intelligence; Segmentation; Pattern recognition (psychology); Object (grammar)
p1442,https://doi.org/10.1109/cvpr42600.2020.00644,Steering Self-Supervised Feature Learning Beyond Local Pixel Statistics,2020,6/1/2020,49,article,Simon Jenni; Hailin Jin; Paolo Favaro,Image warping; Artificial intelligence; Pascal (unit); Pattern recognition (psychology); Computer science
p1443,https://doi.org/10.1098/rsos.171492,"The mono(catecholamine) derivatives as iron chelators: synthesis, solution thermodynamic stability and antioxidant properties research",2018,6/1/2018,22,article,Qingchun Zhang; Bo Jin; Xiaofang Wang; Lei Shan; Zhao‐Tao Shi,Chemistry; Chelation; Catecholamine; Metal ions in aqueous solution; Chemical stability
p1444,https://doi.org/10.46303/ressat.05.01.2,"A Window, Mirror, and Wall: How Educators Use Twitter for Professional Learning",2020,1/10/2020,19,article,Elizabeth Sturm; Laura Quaynor,Coaching; Professional learning community; Professional development; Agency (philosophy); Context (archaeology)
p1445,https://doi.org/10.1038/sdata.2016.35,"MIMIC-III, a freely accessible critical care database",2016,5/24/2016,6451,article,Alistair E. W. Johnson; Tom Pollard; Lu Shen; Li-wei H. Lehman; Mengling Feng,Coursework; Database; Intensive care; Tertiary care; Medical emergency
p1446,https://doi.org/10.1109/cvpr52729.2023.02155,DreamBooth: Fine Tuning Text-to-Image Diffusion Models for Subject-Driven Generation,2023,6/1/2023,1001,article,Nataniel Ruiz; Yuanzhen Li; Varun Jampani; Yael Pritch; Michael Rubinstein,Computer science; Diffusion; Subject (documents); Image (mathematics); Artificial intelligence
p1447,https://doi.org/10.1523/jneurosci.5459-09.2010,Coupling between Beta and High-Frequency Activity in the Human Subthalamic Nucleus May Be a Pathophysiological Mechanism in Parkinson's Disease,2010,5/12/2010,371,article,Jon López‐Azcárate; Mikel Tainta; María Rodríguez‐Oroz; Miguel Valencia; R. Reina Gonzalez,Subthalamic nucleus; Local field potential; Basal ganglia; Neuroscience; Parkinsonism
p1448,https://doi.org/10.18653/v1/w18-5039,Variational Cross-domain Natural Language Generation for Spoken Dialogue Systems,2018,1/1/2018,7,article,Bo-Hsiang Tseng; Florian Kreyssig; Paweł Budzianowski; Iñigo Casanueva; Yen-Chen Wu,Computer science; Natural language generation; Natural language processing; Artificial intelligence; Generator (circuit theory)
p1449,https://doi.org/10.18653/v1/n18-2012,RankME: Reliable Human Ratings for Natural Language Generation,2018,1/1/2018,78,preprint,Jekaterina Novikova; Ondřej Dušek; Verena Rieser,Natural language generation; Computer science; Ranking (information retrieval); Rank (graph theory); Consistency (knowledge bases)
p1450,https://doi.org/10.1214/aoap/1075828050,Stability and uniform approximation of nonlinear filters using the Hilbert metric and application to particle filters,2004,2/1/2004,140,article,François Le Gland; Nadia Oudjane,Metric (unit); Mathematics; Stability (learning theory); Convergence (economics); Filter (signal processing)
p1451,https://doi.org/10.1109/cvpr.2016.251,CNN-RNN: A Unified Framework for Multi-label Image Classification,2016,6/1/2016,1131,preprint,Jiang Wang; Yi Yang; Junhua Mao; Zhiheng Huang; Chang Huang,Computer science; Artificial intelligence; Multi-label classification; Convolutional neural network; Contextual image classification
p1452,https://doi.org/10.18653/v1/p17-2067,"""Liar, Liar Pants on Fire"": A New Benchmark Dataset for Fake News Detection",2017,1/1/2017,1281,article,William Yang Wang,Fake news; Benchmark (surveying); Computer science; Deception; Convolutional neural network
p1453,https://doi.org/10.29333/ejecs/39,Teachers’ Perceptions on Culturally Responsiveness in Education,2015,12/31/2015,47,article,Kasım Karataş; Behçet Oral,Diversity (politics); Perception; Qualitative research; Pedagogy; Cultural diversity
